team_abbr,team_name,stadium_id,stadium,city,state,country,international,capacity,surface,roof_type,opened,stadium_detail_url,latitude,longitude,maps_url,maps_url2
ARI,Arizona Cardinals,PHO00,State Farm Stadium,Glendale,Arizona,America,0,"63,400",Bermuda grass,Retractable,2006,https://en.wikipedia.org//wiki/State_Farm_Stadium,33°31′41″N,112°15′47″W,https://www.google.com/maps/search/?api=1&query=33°31′41″N%2C112°15′47″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.5280555555556%2C-112.263055555556&basemap=satellite&zoom=18
ATL,Atlanta Falcons,ATL97,Mercedes-Benz Stadium,Atlanta,Georgia,America,0,"71,000",FieldTurf Revolution[30],Retractable,2017,https://en.wikipedia.org//wiki/Mercedes-Benz_Stadium,33°45′20″N,84°24′00″W,https://www.google.com/maps/search/?api=1&query=33°45′20″N%2C84°24′00″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.7555555555556%2C-84.4&basemap=satellite&zoom=18
BAL,Baltimore Ravens,BAL00,M&T Bank Stadium,Baltimore,Maryland,America,0,"71,008",Bermuda grass[28],Open,1998,https://en.wikipedia.org//wiki/M%26T_Bank_Stadium,39°16′41″N,76°37′22″W,https://www.google.com/maps/search/?api=1&query=39°16′41″N%2C76°37′22″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.2780555555556%2C-76.6227777777778&basemap=satellite&zoom=18
BUF,Buffalo Bills,BUF00,New Era Field,Orchard Park,New York,America,0,"71,608",A-Turf Titan 50[18],Open,1973,https://en.wikipedia.org//wiki/Highmark_Stadium_(New_York),42°46′26″N,78°47′13″W,https://www.google.com/maps/search/?api=1&query=42°46′26″N%2C78°47′13″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=42.7738888888889%2C-78.7869444444444&basemap=satellite&zoom=18
CAR,Carolina Panthers,CAR00,Bank of America Stadium,Charlotte,North Carolina,America,0,"74,867",FieldTurf,Open,1996,https://en.wikipedia.org//wiki/Bank_of_America_Stadium,35°13′33″N,80°51′10″W,https://www.google.com/maps/search/?api=1&query=35°13′33″N%2C80°51′10″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=35.2258333333333%2C-80.8527777777778&basemap=satellite&zoom=18
CHI,Chicago Bears,CHI98,Soldier Field,Chicago,Illinois,America,0,"61,500",Bermuda grass[43],Open,1924[a],https://en.wikipedia.org//wiki/Soldier_Field,41°51′44″N,87°37′00″W,https://www.google.com/maps/search/?api=1&query=41°51′44″N%2C87°37′00″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=41.8622222222222%2C-87.6166666666667&basemap=satellite&zoom=18
CIN,Cincinnati Bengals,CIN00,Paycor Stadium,Cincinnati,Ohio,America,0,"65,515",UBU Speed Series S5-M Synthetic Turf,Open,2000,https://en.wikipedia.org//wiki/Paycor_Stadium,39°05′42″N,84°30′58″W,https://www.google.com/maps/search/?api=1&query=39°05′42″N%2C84°30′58″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.095%2C-84.5161111111111&basemap=satellite&zoom=18
CLE,Cleveland Browns,CLE00,FirstEnergy Stadium,Cleveland,Ohio,America,0,"67,431",Kentucky bluegrass,Open,1999,https://en.wikipedia.org//wiki/Huntington_Bank_Field,41°30′22″N,81°41′58″W,https://www.google.com/maps/search/?api=1&query=41°30′22″N%2C81°41′58″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=41.5061111111111%2C-81.6994444444445&basemap=satellite&zoom=18
DAL,Dallas Cowboys,DAL00,AT&T Stadium,Arlington,Texas,America,0,"80,000",Hellas Matrix Turf,Retractable,2009,https://en.wikipedia.org//wiki/AT%26T_Stadium,32°44′52″N,97°5′34″W,https://www.google.com/maps/search/?api=1&query=32°44′52″N%2C97°5′34″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=32.7477777777778%2C-97.0927777777778&basemap=satellite&zoom=18
DEN,Denver Broncos,DEN00,Empower Field at Mile High,Denver,Colorado,America,0,"76,125",Kentucky bluegrass,Open,2001,https://en.wikipedia.org//wiki/Empower_Field_at_Mile_High,39°44′38″N,105°1′12″W,https://www.google.com/maps/search/?api=1&query=39°44′38″N%2C105°1′12″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.7438888888889%2C-105.02&basemap=satellite&zoom=18
DET,Detroit Lions,DET00,Ford Field,Detroit,Michigan,America,0,"65,000",FieldTurf CORE[14],Fixed,2002,https://en.wikipedia.org//wiki/Ford_Field,42°20′24″N,83°2′44″W,https://www.google.com/maps/search/?api=1&query=42°20′24″N%2C83°2′44″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=42.34%2C-83.0455555555556&basemap=satellite&zoom=18
GB,Green Bay Packers,GNB00,Lambeau Field,Green Bay,Wisconsin,America,0,"81,441",Kentucky bluegrass reinforced with SIS Grass.[21],Open,1957,https://en.wikipedia.org//wiki/Lambeau_Field,44°30′5″N,88°3′44″W,https://www.google.com/maps/search/?api=1&query=44°30′5″N%2C88°3′44″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=44.5013888888889%2C-88.0622222222222&basemap=satellite&zoom=18
HOU,Houston Texans,HOU00,NRG Stadium,Houston,Texas,America,0,"72,220",Hellas Matrix Turf[38],Retractable,2002,https://en.wikipedia.org//wiki/NRG_Stadium,29°41′5″N,95°24′39″W,https://www.google.com/maps/search/?api=1&query=29°41′5″N%2C95°24′39″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=29.6847222222222%2C-95.4108333333333&basemap=satellite&zoom=18
IND,Indianapolis Colts,IND00,Lucas Oil Stadium,Indianapolis,Indiana,America,0,"67,000",Hellas Matrix Turf,Retractable,2008,https://en.wikipedia.org//wiki/Lucas_Oil_Stadium,39°45′36.2″N,86°9′49.7″W,https://www.google.com/maps/search/?api=1&query=39°45′36.2″N%2C86°9′49.7″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.7600555555556%2C-86.1638055555556&basemap=satellite&zoom=18
JAX,Jacksonville Jaguars,JAX00,TIAA Bank Stadium,Jacksonville,Florida,America,0,"67,838",Bermuda grass,Open,1995,https://en.wikipedia.org//wiki/EverBank_Stadium,30°19′26″N,81°38′15″W,https://www.google.com/maps/search/?api=1&query=30°19′26″N%2C81°38′15″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=30.3238888888889%2C-81.6375&basemap=satellite&zoom=18
KC,Kansas City Chiefs,KAN00,GEHA Field at Arrowhead Stadium,Kansas City,Missouri,America,0,"76,416",Bermuda grass,Open,1972,https://en.wikipedia.org//wiki/Arrowhead_Stadium,39°2′56″N,94°29′2″W,https://www.google.com/maps/search/?api=1&query=39°2′56″N%2C94°29′2″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.0488888888889%2C-94.4838888888889&basemap=satellite&zoom=18
LA,Los Angeles Rams,LAX01,SoFi Stadium,Inglewood,California,America,0,"70,240",Hellas Matrix Turf,Fixed,2020,https://en.wikipedia.org//wiki/SoFi_Stadium,33°57′11″N,118°20′20″W,https://www.google.com/maps/search/?api=1&query=33°57′11″N%2C118°20′20″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.9530555555556%2C-118.338888888889&basemap=satellite&zoom=18
LAC,Los Angeles Chargers,LAX01,SoFi Stadium,Inglewood,California,America,0,"70,240",Hellas Matrix Turf,Fixed,2020,https://en.wikipedia.org//wiki/SoFi_Stadium,33°57′11″N,118°20′20″W,https://www.google.com/maps/search/?api=1&query=33°57′11″N%2C118°20′20″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.9530555555556%2C-118.338888888889&basemap=satellite&zoom=18
